32,194101671,110,0
32,194102281,125,360
84,194102937,94,194103031
72,194103078,156,297
73,194103156,109,187
83,194103218,47,109
32,194103281,94,157
73,194103343,110,172
83,194103406,62,125
32,194103468,125,187
84,194103546,63,141
72,194103609,109,172
69,194103703,62,156
32,194103765,110,172
73,194106500,140,562
77,194106656,62,218
65,194106671,79,94
71,194106734,47,110
69,194106890,78,234
32,194106953,140,203
84,194107046,63,156
72,194107125,78,157
65,194108203,109,203
84,194108281,94,172
32,194108375,93,187
73,194108421,110,156
83,194108515,78,172
32,194108578,125,188
79,194108718,63,203
84,194108656,125,63
79,194108843,78,265
32,194108906,140,203
66,194109062,141,297
73,194109140,110,188
71,194109218,94,172
32,194109515,78,375
79,194109578,156,219
82,194109703,109,234
32,194109812,125,234
77,194110343,157,688
73,194110437,125,219
83,194110546,94,203
77,194110687,109,250
65,194110843,78,234
84,194110921,47,125
67,194112484,62,187
72,194112593,110,219
69,194112687,31,125
68,194112812,78,203
32,194112875,140,203
84,194113968,63,313
79,194114046,94,172
32,194114140,94,31
79,194114203,93,156
84,194114343,63,203
83,194179562,125,344
83,194205250,109,359
83,194214546,79,194214625
32,194237656,94,375
79,194237828,125,194237953
80,194237906,125,203
69,194238031,62,187
78,194238109,125,203
32,194238234,62,187
65,194238375,62,203
32,194238453,125,203
72,194238687,63,297
65,194238765,78,156
78,194238843,110,188
68,194238937,63,157
76,194239046,125,234
69,194239125,62,141
32,194239203,109,187
84,194239281,94,172
79,194239359,94,172
32,194239437,109,187
84,194239484,78,125
72,194239609,94,219
69,194239687,63,141
32,194239734,156,203
67,194239875,62,203
82,194240046,94,265
89,194242437,94,235
80,194242531,94,188
84,194242640,110,219
79,194242734,109,203
32,194243109,141,516
83,194243234,94,219
69,194244000,62,359
82,194244125,62,187
86,194244296,79,250
73,194244421,94,219
67,194244468,78,125
69,194244687,31,250
32,194244718,110,141
70,194244828,47,157
82,194246500,109,188
79,194246609,47,156
77,194246828,109,328
32,194246968,110,250
87,194247078,78,194247156
73,194247156,78,156
78,194247218,94,156
68,194247281,62,125
79,194247390,78,187
87,194247437,63,110
83,194247593,47,203
83,194247859,109,194247968
32,194256953,109,391
65,194257046,94,194257140
76,194257187,47,188
76,194257328,31,31
79,194257468,63,203
67,194257515,78,125
65,194257562,94,141
84,194257687,63,188
69,194257843,78,234
32,194258062,141,360
65,194258921,79,204
32,194259062,109,250
83,194259140,94,172
80,194259250,93,203
65,194259296,125,171
67,194259390,63,157
69,194259546,79,235
32,194259609,78,141
79,194259656,125,172
78,194259750,109,203
32,194259843,125,218
84,194260125,62,344
72,194260218,78,171
69,194260296,79,157
32,194260359,94,157
72,194260406,78,125
69,194260468,110,172
65,194260531,125,188
80,194261015,94,578
32,194261140,110,235
70,194261218,63,141
79,194261296,94,172
82,194261406,62,172
32,194261453,125,172
79,194261578,156,281
85,194261687,125,234
82,194261812,94,219
32,194261890,125,203
80,194262125,171,406
79,194262265,94,234
73,194262453,156,344
84,194262593,32,172
78,194262515,125,47
82,194271890,110,219
32,194271968,94,172
66,194272078,109,219
89,194272203,78,203
84,194272390,63,250
69,194272562,109,281
83,194272625,93,156
83,194273015,94,281
32,194284828,93,203
67,194284937,78,194285015
82,194285125,46,234
69,194285265,110,250
65,194285328,109,172
84,194285468,63,203
69,194285625,78,235
32,194285687,125,187
79,194285796,110,219
85,194285859,109,172
82,194285937,78,156
32,194286093,125,281
72,194286312,78,297
65,194286406,109,15
83,194286500,62,156
72,194286500,78,78
32,194287078,156,391
87,194287250,93,265
69,194287375,125,250
32,194287468,141,234
65,194289421,94,359
76,194289531,125,235
83,194289656,109,234
79,194289781,94,219
32,194289953,156,328
80,194290093,203,343
85,194290281,109,297
84,194290437,109,265
32,194290593,110,266
65,194290687,94,188
32,194290828,109,250
75,194291453,125,750
69,194291593,125,265
89,194292156,94,657
32,194292296,125,265
73,194292875,109,688
78,194292953,109,187
32,194293062,125,234
84,194293140,110,188
72,194293234,125,219
73,194293296,110,172
83,194293375,93,172
32,194293437,109,171
70,194293578,109,250
85,194293656,62,140
78,194293828,93,265
67,194293906,78,156
84,194294062,94,250
73,194294093,94,125
79,194294140,172,219
78,194294281,109,250
32,194294640,110,250
66,194294765,156,281
85,194294875,125,235
84,194294937,94,156
32,194295015,110,188
87,194295078,109,172
69,194295187,94,203
82,194296031,47,125
69,194296187,63,219
32,194296265,125,203
78,194296421,79,235
79,194296437,141,157
84,194296562,94,219
32,194296640,125,203
85,194296765,78,203
83,194296859,94,188
73,194296937,141,219
78,194297015,125,203
71,194297093,47,125
32,194297156,94,157
79,194297218,110,172
78,194297265,78,125
32,194311062,141,360
65,194311187,125,194311312
67,194311312,63,188
84,194311484,62,234
85,194311578,78,172
65,194311640,94,156
76,194311765,47,172
76,194311890,94,94
89,194311968,110,188
32,194312109,141,282
72,194312234,109,234
65,194312328,93,187
83,194312390,94,156
72,194312812,78,500
32,194313781,94,1063
79,194317421,172,3812
85,194317546,125,250
82,194318062,94,610
32,194321453,109,3500
80,194321937,125,609
65,194322109,94,266
83,194322156,78,125
83,194322312,47,47
87,194322468,78,234
79,194322609,109,250
82,194322687,78,156
68,194322859,78,250
83,194323562,109,194323671
